date,longitude,latitude,co,co2,ch4,nh3,pm25
1/8/2015,95.25,5.85,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.35,5.85,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.15,5.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.45,5.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.25,5.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.35,5.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.45,5.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.55,5.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.65,5.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.75,5.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.25,5.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.35,5.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.45,5.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.55,5.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.65,5.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.75,5.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.85,5.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.25,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.35,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.45,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.55,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.65,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.75,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.85,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.95,5.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.25,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.35,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.45,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.55,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.65,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.75,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.85,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.95,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.05,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,5.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.35,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.45,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.55,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.65,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.75,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.85,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.95,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.05,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.35,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.45,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.55,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.65,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.35,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,5.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.35,5.05,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.45,5.05,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.55,5.05,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.65,5.05,2.12E-13,3.39E-12,0,0,0
